
-------------------------------
number of philos 5
[431]: 1 is thinking
[431]: 1 is sleeping
[431]: 4 is thinking
[431]: 4 is sleeping
[431]: 3 is thinking
[431]: 3 is sleeping
[432]: 5 is thinking
[432]: 5 is sleeping
[432]: 2 is thinking
[432]: 2 is sleeping
[432]: 1 is thinking
[432]: 1 is sleeping
[432]: 4 is thinking
[432]: 4 is sleeping
[433]: 3 is thinking
[433]: 3 is sleeping
[433]: 5 is thinking
[433]: 5 is sleeping
[433]: 2 is thinking
[433]: 2 is sleeping
[433]: 1 is thinking
[433]: 1 is sleeping
[434]: 4 is thinking
[434]: 4 is sleeping
[434]: 3 is thinking
[434]: 3 is sleeping
[434]: 5 is thinking
[434]: 5 is sleeping
[434]: 2 is thinking
[434]: 2 is sleeping
[435]: 1 is thinking
[435]: 1 is sleeping
[435]: 4 is thinking
[435]: 4 is sleeping
[435]: 3 is thinking
[435]: 3 is sleeping
[435]: 5 is thinking
[435]: 5 is sleeping
[436]: 2 is thinking
[436]: 2 is sleeping
[436]: 1 is thinking
[436]: 1 is sleeping
[436]: 4 is thinking
[436]: 4 is sleeping
[436]: 3 is thinking
[436]: 3 is sleeping
[437]: 5 is thinking
[437]: 5 is sleeping
[437]: 2 is thinking
[437]: 2 is sleeping
[437]: 1 is thinking
[437]: 1 is sleeping
[438]: 4 is thinking
[438]: 4 is sleeping
[438]: 3 is thinking
[438]: 3 is sleeping
[438]: 5 is thinking
[438]: 5 is sleeping
[438]: 2 is thinking
[438]: 2 is sleeping
[439]: 1 is thinking
[439]: 1 is sleeping
[439]: 4 is thinking
[439]: 4 is sleeping
[439]: 3 is thinking
[439]: 3 is sleeping
[439]: 5 is thinking
[439]: 5 is sleeping
[440]: 2 is thinking
[440]: 2 is sleeping
[440]: 1 is thinking
[440]: 1 is sleeping
[440]: 4 is thinking
[440]: 4 is sleeping
[440]: 3 is thinking
[440]: 3 is sleeping
[441]: 5 is thinking
[441]: 5 is sleeping
[441]: 2 is thinking
[441]: 2 is sleeping
[441]: 1 is thinking
[441]: 1 is sleeping
[441]: 4 is thinking
[441]: 4 is sleeping
[442]: 3 is thinking
[442]: 3 is sleeping
[442]: 5 is thinking
[442]: 5 is sleeping
[442]: 2 is thinking
[442]: 2 is sleeping
[442]: 1 is thinking
[442]: 1 is sleeping
[443]: 4 is thinking
[443]: 4 is sleeping
[443]: 3 is thinking
[443]: 3 is sleeping
[443]: 5 is thinking
[443]: 5 is sleeping
[443]: 2 is thinking
[443]: 2 is sleeping
[444]: 1 is thinking
[444]: 1 is sleeping
[444]: 4 is thinking
[444]: 4 is sleeping
[444]: 3 is thinking
[444]: 3 is sleeping
[444]: 5 is thinking
[444]: 5 is sleeping
[445]: 2 is thinking
[445]: 2 is sleeping
[445]: 1 is thinking
[445]: 1 is sleeping
[445]: 4 is thinking
[445]: 4 is sleeping
[445]: 3 is thinking
[445]: 3 is sleeping
[446]: 5 is thinking
[446]: 5 is sleeping
[446]: 2 is thinking
[446]: 2 is sleeping
[446]: 1 is thinking
[446]: 1 is sleeping
[447]: 4 is thinking
[447]: 4 is sleeping
[447]: 3 is thinking
[447]: 3 is sleeping
[447]: 5 is thinking
[447]: 5 is sleeping
[447]: 2 is thinking
[447]: 2 is sleeping
[448]: 1 is thinking
[448]: 1 is sleeping
[448]: 4 is thinking
[448]: 4 is sleeping
[448]: 3 is thinking
[448]: 3 is sleeping
[448]: 5 is thinking
[448]: 5 is sleeping
[449]: 2 is thinking
[449]: 2 is sleeping
[449]: 1 is thinking
[449]: 1 is sleeping
[449]: 4 is thinking
[449]: 4 is sleeping
[449]: 3 is thinking
[449]: 3 is sleeping
[450]: 5 is thinking
[450]: 5 is sleeping
[450]: 2 is thinking
[450]: 2 is sleeping
[450]: 1 is thinking
[450]: 1 is sleeping
[450]: 4 is thinking
[450]: 4 is sleeping
[451]: 3 is thinking
[451]: 3 is sleeping
[451]: 5 is thinking
[451]: 5 is sleeping
[451]: 2 is thinking
[451]: 2 is sleeping
[451]: 1 is thinking
[451]: 1 is sleeping
[452]: 4 is thinking
[452]: 4 is sleeping
[452]: 3 is thinking
[452]: 3 is sleeping
[452]: 5 is thinking
[452]: 5 is sleeping
[452]: 2 is thinking
[452]: 2 is sleeping
[453]: 2 is thinking
[453]: 2 is sleeping
[453]: 4 is thinking
[453]: 4 is sleeping
[453]: 3 is thinking
[453]: 3 is sleeping
[454]: 5 is thinking
[454]: 5 is sleeping
[454]: 5 is thinking
[454]: 5 is sleeping
[454]: 2 is thinking
[454]: 2 is sleeping
[454]: 4 is thinking
[454]: 4 is sleeping
[455]: 3 is thinking
[455]: 3 is sleeping
[455]: 1 is thinking
[455]: 1 is sleeping
[455]: 5 is thinking
[455]: 5 is sleeping
[455]: 2 is thinking
[455]: 2 is sleeping
[456]: 4 is thinking
[456]: 4 is sleeping
[456]: 3 is thinking
[456]: 3 is sleeping
[456]: 1 is thinking
[456]: 1 is sleeping
[456]: 5 is thinking
[456]: 5 is sleeping
[457]: 2 is thinking
[457]: 2 is sleeping
[457]: 4 is thinking
[457]: 4 is sleeping
[457]: 3 is thinking
[457]: 3 is sleeping
[457]: 1 is thinking
[457]: 1 is sleeping
[458]: 5 is thinking
[458]: 5 is sleeping
[458]: 2 is thinking
[458]: 2 is sleeping
[458]: 4 is thinking
[458]: 4 is sleeping
[458]: 3 is thinking
[458]: 3 is sleeping
[459]: 1 is thinking
[459]: 1 is sleeping
[459]: 5 is thinking
[459]: 5 is sleeping
[459]: 2 is thinking
[459]: 2 is sleeping
[459]: 4 is thinking
[459]: 4 is sleeping
[460]: 3 is thinking
[460]: 3 is sleeping
[460]: 1 is thinking
[460]: 1 is sleeping
[460]: 5 is thinking
[460]: 5 is sleeping
[460]: 2 is thinking
[460]: 2 is sleeping
[461]: 4 is thinking
[461]: 4 is sleeping
[461]: 3 is thinking
[461]: 3 is sleeping
[461]: 1 is thinking
[461]: 1 is sleeping
[461]: 5 is thinking
[461]: 5 is sleeping
[462]: 2 is thinking
[462]: 2 is sleeping
[462]: 4 is thinking
[462]: 4 is sleeping
[462]: 3 is thinking
[462]: 3 is sleeping
[462]: 1 is thinking
[462]: 1 is sleeping
[463]: 5 is thinking
[463]: 5 is sleeping
[463]: 2 is thinking
[463]: 2 is sleeping
[463]: 4 is thinking
[463]: 4 is sleeping
[464]: 3 is thinking
[464]: 3 is sleeping
[464]: 1 is thinking
[464]: 1 is sleeping
[464]: 5 is thinking
[464]: 5 is sleeping
[464]: 2 is thinking
[464]: 2 is sleeping
[465]: 4 is thinking
[465]: 4 is sleeping
[465]: 3 is thinking
[465]: 3 is sleeping
[465]: 1 is thinking
[465]: 1 is sleeping
[465]: 5 is thinking
[465]: 5 is sleeping
[466]: 2 is thinking
[466]: 2 is sleeping
[466]: 4 is thinking
[466]: 4 is sleeping
[466]: 3 is thinking
[466]: 3 is sleeping
[466]: 1 is thinking
[466]: 1 is sleeping
[467]: 5 is thinking
[467]: 5 is sleeping
[467]: 2 is thinking
[467]: 2 is sleeping
[467]: 4 is thinking
[467]: 4 is sleeping
[467]: 3 is thinking
[467]: 3 is sleeping
[468]: 1 is thinking
[468]: 1 is sleeping
[468]: 5 is thinking
[468]: 5 is sleeping
[468]: 2 is thinking
[468]: 2 is sleeping
[468]: 4 is thinking
[468]: 4 is sleeping
[469]: 3 is thinking
[469]: 3 is sleeping
[469]: 1 is thinking
[469]: 1 is sleeping
[469]: 5 is thinking
[469]: 5 is sleeping
[469]: 2 is thinking
[469]: 2 is sleeping
[470]: 4 is thinking
[470]: 4 is sleeping
[470]: 3 is thinking
[470]: 3 is sleeping
[470]: 1 is thinking
[470]: 1 is sleeping
[470]: 5 is thinking
[470]: 5 is sleeping
[471]: 2 is thinking
[471]: 2 is sleeping
[471]: 4 is thinking
[471]: 4 is sleeping
[471]: 3 is thinking
[471]: 3 is sleeping
[471]: 1 is thinking
[471]: 1 is sleeping
[472]: 5 is thinking
[472]: 5 is sleeping
[472]: 2 is thinking
[472]: 2 is sleeping
[472]: 4 is thinking
[472]: 4 is sleeping
[472]: 3 is thinking
[472]: 3 is sleeping
[473]: 1 is thinking
[473]: 1 is sleeping
[473]: 5 is thinking
[473]: 5 is sleeping
[473]: 2 is thinking
[473]: 2 is sleeping
[474]: 4 is thinking
[474]: 4 is sleeping
[474]: 3 is thinking
[474]: 3 is sleeping
[474]: 1 is thinking
[474]: 1 is sleeping
[474]: 5 is thinking
[474]: 5 is sleeping
[475]: 2 is thinking
[475]: 2 is sleeping
[475]: 4 is thinking
[475]: 4 is sleeping
[475]: 3 is thinking
[475]: 3 is sleeping
[475]: 1 is thinking
[475]: 1 is sleeping
[476]: 5 is thinking
[476]: 5 is sleeping
[476]: 2 is thinking
[476]: 2 is sleeping
[476]: 4 is thinking
[476]: 4 is sleeping
[476]: 3 is thinking
[476]: 3 is sleeping
[477]: 1 is thinking
[477]: 1 is sleeping
[477]: 5 is thinking
[477]: 5 is sleeping
[477]: 2 is thinking
[477]: 2 is sleeping
[477]: 4 is thinking
[477]: 4 is sleeping
[478]: 3 is thinking
[478]: 3 is sleeping
[478]: 1 is thinking
[478]: 1 is sleeping
[478]: 5 is thinking
[478]: 5 is sleeping
[478]: 2 is thinking
[478]: 2 is sleeping
[479]: 4 is thinking
[479]: 4 is sleeping
[479]: 3 is thinking
[479]: 3 is sleeping
[479]: 1 is thinking
[479]: 1 is sleeping
[479]: 5 is thinking
[479]: 5 is sleeping
[480]: 2 is thinking
[480]: 2 is sleeping
[480]: 4 is thinking
[480]: 4 is sleeping
[480]: 3 is thinking
[480]: 3 is sleeping
[480]: 1 is thinking
[480]: 1 is sleeping
[481]: 5 is thinking
[481]: 5 is sleeping
[481]: 2 is thinking
[481]: 2 is sleeping
[481]: 4 is thinking
[481]: 4 is sleeping
[481]: 3 is thinking
[481]: 3 is sleeping
[482]: 1 is thinking
[482]: 1 is sleeping
[482]: 5 is thinking
[482]: 5 is sleeping
[482]: 2 is thinking
[482]: 2 is sleeping
[482]: 4 is thinking
[482]: 4 is sleeping
[483]: 3 is thinking
[483]: 3 is sleeping
[483]: 1 is thinking
[483]: 1 is sleeping
[483]: 5 is thinking
[483]: 5 is sleeping
[483]: 2 is thinking
[483]: 2 is sleeping
[484]: 4 is thinking
[484]: 4 is sleeping
[484]: 3 is thinking
[484]: 3 is sleeping
[484]: 1 is thinking
[484]: 1 is sleeping
[485]: 5 is thinking
[485]: 5 is sleeping
[485]: 2 is thinking
[485]: 2 is sleeping
[485]: 4 is thinking
[485]: 4 is sleeping
[485]: 3 is thinking
[485]: 3 is sleeping
[486]: 1 is thinking
[486]: 1 is sleeping
[486]: 5 is thinking
[486]: 5 is sleeping
[486]: 2 is thinking
[486]: 2 is sleeping
[486]: 4 is thinking
[486]: 4 is sleeping
[487]: 3 is thinking
[487]: 3 is sleeping
[487]: 1 is thinking
[487]: 1 is sleeping
[487]: 5 is thinking
[487]: 5 is sleeping
[487]: 2 is thinking
[487]: 2 is sleeping
[488]: 4 is thinking
[488]: 4 is sleeping
[488]: 4 is thinking
[488]: 4 is sleeping
[488]: 1 is thinking
[488]: 1 is sleeping
[488]: 5 is thinking
[488]: 5 is sleeping
[489]: 2 is thinking
[489]: 2 is sleeping
[489]: 3 is thinking
[489]: 3 is sleeping
[489]: 3 is thinking
[489]: 3 is sleeping
[489]: 1 is thinking
[489]: 1 is sleeping
[490]: 5 is thinking
[490]: 5 is sleeping
[490]: 2 is thinking
[490]: 2 is sleeping
[490]: 4 is thinking
[490]: 4 is sleeping
[490]: 4 is thinking
[490]: 4 is sleeping
[491]: 1 is thinking
[491]: 1 is sleeping
[491]: 5 is thinking
[491]: 5 is sleeping
[491]: 2 is thinking
[491]: 2 is sleeping
[491]: 3 is thinking
[491]: 3 is sleeping
[492]: 3 is thinking
[492]: 3 is sleeping
[492]: 1 is thinking
[492]: 1 is sleeping
[492]: 5 is thinking
[492]: 5 is sleeping
[492]: 2 is thinking
[492]: 2 is sleeping
[493]: 4 is thinking
[493]: 4 is sleeping
[493]: 4 is thinking
[493]: 4 is sleeping
[493]: 1 is thinking
[493]: 1 is sleeping
[493]: 5 is thinking
[493]: 5 is sleeping
[494]: 2 is thinking
[494]: 2 is sleeping
[494]: 3 is thinking
[494]: 3 is sleeping
[494]: 4 is thinking
[494]: 4 is sleeping
[495]: 1 is thinking
[495]: 1 is sleeping
[495]: 5 is thinking
[495]: 5 is sleeping
[495]: 2 is thinking
[495]: 2 is sleeping
[495]: 3 is thinking
[495]: 3 is sleeping
[496]: 4 is thinking
[496]: 4 is sleeping
[496]: 1 is thinking
[496]: 1 is sleeping
[496]: 5 is thinking
[496]: 5 is sleeping
[496]: 2 is thinking
[496]: 2 is sleeping
[497]: 3 is thinking
[497]: 3 is sleeping
[497]: 4 is thinking
[497]: 4 is sleeping
[497]: 1 is thinking
[497]: 1 is sleeping
[497]: 5 is thinking
[497]: 5 is sleeping
[498]: 2 is thinking
[498]: 2 is sleeping
[498]: 3 is thinking
[498]: 3 is sleeping
[498]: 4 is thinking
[498]: 4 is sleeping
[498]: 1 is thinking
[498]: 1 is sleeping
[499]: 5 is thinking
[499]: 5 is sleeping
[499]: 2 is thinking
[499]: 2 is sleeping
[499]: 3 is thinking
[499]: 3 is sleeping
[499]: 4 is thinking
[499]: 4 is sleeping
[500]: 1 is thinking
[500]: 1 is sleeping
[500]: 5 is thinking
[500]: 5 is sleeping
[500]: 2 is thinking
[500]: 2 is sleeping
[500]: 3 is thinking
[500]: 3 is sleeping
[501]: 4 is thinking
[501]: 4 is sleeping
[501]: 1 is thinking
[501]: 1 is sleeping
[501]: 5 is thinking
[501]: 5 is sleeping
[501]: 2 is thinking
[501]: 2 is sleeping
[502]: 3 is thinking
[502]: 3 is sleeping
[502]: 4 is thinking
[502]: 4 is sleeping
[502]: 1 is thinking
[502]: 1 is sleeping
[502]: 5 is thinking
[502]: 5 is sleeping
[503]: 2 is thinking
[503]: 2 is sleeping
[503]: 3 is thinking
[503]: 3 is sleeping
[503]: 4 is thinking
[503]: 4 is sleeping
[504]: 1 is thinking
[504]: 1 is sleeping
[504]: 5 is thinking
[504]: 5 is sleeping
[504]: 2 is thinking
[504]: 2 is sleeping
[504]: 3 is thinking
[504]: 3 is sleeping
[505]: 4 is thinking
[505]: 4 is sleeping
[505]: 1 is thinking
[505]: 1 is sleeping
[505]: 5 is thinking
[505]: 5 is sleeping
[505]: 2 is thinking
[505]: 2 is sleeping
[506]: 3 is thinking
[506]: 3 is sleeping
[506]: 4 is thinking
[506]: 4 is sleeping
[506]: 1 is thinking
[506]: 1 is sleeping
[506]: 5 is thinking
[506]: 5 is sleeping
[507]: 2 is thinking
[507]: 2 is sleeping
[507]: 3 is thinking
[507]: 3 is sleeping
[507]: 4 is thinking
[507]: 4 is sleeping
[507]: 1 is thinking
[507]: 1 is sleeping
[508]: 5 is thinking
[508]: 5 is sleeping
[508]: 2 is thinking
[508]: 2 is sleeping
[508]: 3 is thinking
[508]: 3 is sleeping
[508]: 4 is thinking
[508]: 4 is sleeping
[509]: 1 is thinking
[509]: 1 is sleeping
[509]: 5 is thinking
[509]: 5 is sleeping
[509]: 2 is thinking
[509]: 2 is sleeping
[509]: 3 is thinking
[509]: 3 is sleeping
[510]: 4 is thinking
[510]: 4 is sleeping
[510]: 1 is thinking
[510]: 1 is sleeping
[510]: 5 is thinking
[510]: 5 is sleeping
[510]: 2 is thinking
[510]: 2 is sleeping
[511]: 3 is thinking
[511]: 3 is sleeping
[511]: 4 is thinking
[511]: 4 is sleeping
[511]: 1 is thinking
[511]: 1 is sleeping
[511]: 5 is thinking
[511]: 5 is sleeping
[512]: 5 is thinking
[512]: 5 is sleeping
[512]: 5 is thinking
[512]: 5 is sleeping
[512]: 4 is thinking
[512]: 4 is sleeping
[512]: 1 is thinking
[512]: 1 is sleeping
[513]: 2 is thinking
[513]: 2 is sleeping
[513]: 3 is thinking
[513]: 3 is sleeping
[513]: 5 is thinking
[513]: 5 is sleeping
[514]: 4 is thinking
[514]: 4 is sleeping
[514]: 1 is thinking
[514]: 1 is sleeping
[514]: 2 is thinking
[514]: 2 is sleeping
[514]: 3 is thinking
[514]: 3 is sleeping
[515]: 5 is thinking
[515]: 5 is sleeping
[515]: 4 is thinking
[515]: 4 is sleeping
[515]: 1 is thinking
[515]: 1 is sleeping
[515]: 2 is thinking
[515]: 2 is sleeping
[516]: 3 is thinking
[516]: 3 is sleeping
[516]: 5 is thinking
[516]: 5 is sleeping
[516]: 4 is thinking
[516]: 4 is sleeping
[516]: 1 is thinking
[516]: 1 is sleeping
[517]: 2 is thinking
[517]: 2 is sleeping
[517]: 3 is thinking
[517]: 3 is sleeping
[517]: 5 is thinking
[517]: 5 is sleeping
[517]: 4 is thinking
[517]: 4 is sleeping
[518]: 1 is thinking
[518]: 1 is sleeping
[518]: 2 is thinking
[518]: 2 is sleeping
[518]: 3 is thinking
[518]: 3 is sleeping
[518]: 5 is thinking
[518]: 5 is sleeping
[519]: 4 is thinking
[519]: 4 is sleeping
[519]: 1 is thinking
[519]: 1 is sleeping
[519]: 2 is thinking
[519]: 2 is sleeping
[519]: 3 is thinking
[519]: 3 is sleeping
[520]: 5 is thinking
[520]: 5 is sleeping
[520]: 4 is thinking
[520]: 4 is sleeping
[520]: 1 is thinking
[520]: 1 is sleeping
[520]: 2 is thinking
[520]: 2 is sleeping
[521]: 3 is thinking
[521]: 3 is sleeping
[521]: 5 is thinking
[521]: 5 is sleeping
[521]: 4 is thinking
[521]: 4 is sleeping
[521]: 1 is thinking
[521]: 1 is sleeping
[522]: 2 is thinking
[522]: 2 is sleeping
[522]: 3 is thinking
[522]: 3 is sleeping
[522]: 5 is thinking
[522]: 5 is sleeping
[523]: 4 is thinking
[523]: 4 is sleeping
[523]: 1 is thinking
[523]: 1 is sleeping
[523]: 2 is thinking
[523]: 2 is sleeping
[523]: 3 is thinking
[523]: 3 is sleeping
[524]: 5 is thinking
[524]: 5 is sleeping
[524]: 4 is thinking
[524]: 4 is sleeping
[524]: 1 is thinking
[524]: 1 is sleeping
[524]: 2 is thinking
[524]: 2 is sleeping
[525]: 3 is thinking
[525]: 3 is sleeping
[525]: 5 is thinking
[525]: 5 is sleeping
[525]: 4 is thinking
[525]: 4 is sleeping
[525]: 1 is thinking
[525]: 1 is sleeping
[526]: 2 is thinking
[526]: 2 is sleeping
[526]: 3 is thinking
[526]: 3 is sleeping
[526]: 5 is thinking
[526]: 5 is sleeping
[526]: 4 is thinking
[526]: 4 is sleeping
[527]: 1 is thinking
[527]: 1 is sleeping
[527]: 2 is thinking
[527]: 2 is sleeping
[527]: 3 is thinking
[527]: 3 is sleeping
[527]: 5 is thinking
[527]: 5 is sleeping
[528]: 4 is thinking
[528]: 4 is sleeping
[528]: 1 is thinking
[528]: 1 is sleeping
[528]: 2 is thinking
[528]: 2 is sleeping
[528]: 3 is thinking
[528]: 3 is sleeping
[529]: 5 is thinking
[529]: 5 is sleeping
[529]: 4 is thinking
[529]: 4 is sleeping
[529]: 1 is thinking
[529]: 1 is sleeping
[529]: 2 is thinking
[529]: 2 is sleeping
[530]: 3 is thinking
[530]: 3 is sleeping
[530]: 5 is thinking
[530]: 5 is sleeping
[530]: 4 is thinking
[530]: 4 is sleeping
[530]: 1 is thinking
[530]: 1 is sleeping
[531]: 2 is thinking
[531]: 2 is sleeping
[531]: 3 is thinking
[531]: 3 is sleeping
[531]: 5 is thinking
[531]: 5 is sleeping
[531]: 4 is thinking
[531]: 4 is sleeping
[532]: 1 is thinking
[532]: 1 is sleeping
[532]: 2 is thinking
[532]: 2 is sleeping
[532]: 3 is thinking
[532]: 3 is sleeping
[532]: 5 is thinking
[532]: 5 is sleeping
[533]: 4 is thinking
[533]: 4 is sleeping
[533]: 1 is thinking
[533]: 1 is sleeping
[533]: 2 is thinking
[533]: 2 is sleeping
[534]: 3 is thinking
[534]: 3 is sleeping
[534]: 5 is thinking
[534]: 5 is sleeping
[534]: 4 is thinking
[534]: 4 is sleeping
[534]: 1 is thinking
[534]: 1 is sleeping
[535]: 2 is thinking
[535]: 2 is sleeping
[535]: 3 is thinking
[535]: 3 is sleeping
[535]: 5 is thinking
[535]: 5 is sleeping
[535]: 4 is thinking
[535]: 4 is sleeping
[536]: 1 is thinking
[536]: 1 is sleeping
[536]: 2 is thinking
[536]: 2 is sleeping
[536]: 3 is thinking
[536]: 3 is sleeping
[536]: 5 is thinking
[536]: 5 is sleeping
[537]: 4 is thinking
[537]: 4 is sleeping
[537]: 1 is thinking
[537]: 1 is sleeping
[537]: 2 is thinking
[537]: 2 is sleeping
[537]: 3 is thinking
[537]: 3 is sleeping
[538]: 5 is thinking
[538]: 5 is sleeping
[538]: 4 is thinking
[538]: 4 is sleeping
[538]: 1 is thinking
[538]: 1 is sleeping
[538]: 2 is thinking
[538]: 2 is sleeping
[539]: 3 is thinking
[539]: 3 is sleeping
[539]: 5 is thinking
[539]: 5 is sleeping
[539]: 4 is thinking
[539]: 4 is sleeping
[539]: 1 is thinking
[539]: 1 is sleeping
[540]: 2 is thinking
[540]: 2 is sleeping
[540]: 3 is thinking
[540]: 3 is sleeping
[540]: 5 is thinking
[540]: 5 is sleeping
[540]: 4 is thinking
[540]: 4 is sleeping
[541]: 1 is thinking
[541]: 1 is sleeping
[541]: 2 is thinking
[541]: 2 is sleeping
[541]: 3 is thinking
[541]: 3 is sleeping
[541]: 5 is thinking
[541]: 5 is sleeping
[542]: 4 is thinking
[542]: 4 is sleeping
[542]: 1 is thinking
[542]: 1 is sleeping
[542]: 2 is thinking
[542]: 2 is sleeping
[543]: 3 is thinking
[543]: 3 is sleeping
[543]: 5 is thinking
[543]: 5 is sleeping
[543]: 4 is thinking
[543]: 4 is sleeping
[543]: 1 is thinking
[543]: 1 is sleeping
[544]: 2 is thinking
[544]: 2 is sleeping
[544]: 3 is thinking
[544]: 3 is sleeping
[544]: 5 is thinking
[544]: 5 is sleeping
[544]: 4 is thinking
[544]: 4 is sleeping
[545]: 1 is thinking
[545]: 1 is sleeping
[545]: 2 is thinking
[545]: 2 is sleeping
[545]: 3 is thinking
[545]: 3 is sleeping
[545]: 5 is thinking
[545]: 5 is sleeping
[546]: 4 is thinking
[546]: 4 is sleeping
[546]: 1 is thinking
[546]: 1 is sleeping
[546]: 2 is thinking
[546]: 2 is sleeping
[546]: 3 is thinking
[546]: 3 is sleeping
[547]: 5 is thinking
[547]: 5 is sleeping
[547]: 4 is thinking
[547]: 4 is sleeping
[547]: 1 is thinking
[547]: 1 is sleeping
[547]: 2 is thinking
[547]: 2 is sleeping
[548]: 3 is thinking
[548]: 3 is sleeping
[548]: 5 is thinking
[548]: 5 is sleeping
[548]: 4 is thinking
[548]: 4 is sleeping
[548]: 1 is thinking
[548]: 1 is sleeping
[549]: 2 is thinking
[549]: 2 is sleeping
[549]: 3 is thinking
[549]: 3 is sleeping
[549]: 5 is thinking
[549]: 5 is sleeping
[549]: 4 is thinking
[549]: 4 is sleeping
[550]: 1 is thinking
[550]: 1 is sleeping
[550]: 2 is thinking
[550]: 2 is sleeping
[550]: 3 is thinking
[550]: 3 is sleeping
[550]: 5 is thinking
[550]: 5 is sleeping
[551]: 4 is thinking
[551]: 4 is sleeping
[551]: 1 is thinking
[551]: 1 is sleeping
[551]: 2 is thinking
[551]: 2 is sleeping
[551]: 3 is thinking
[551]: 3 is sleeping
[552]: 5 is thinking
[552]: 5 is sleeping
[552]: 4 is thinking
[552]: 4 is sleeping
[552]: 1 is thinking
[552]: 1 is sleeping
[553]: 2 is thinking
[553]: 2 is sleeping
[553]: 3 is thinking
[553]: 3 is sleeping
[553]: 5 is thinking
[553]: 5 is sleeping
[553]: 4 is thinking
[553]: 4 is sleeping
[554]: 1 is thinking
[554]: 1 is sleeping
[554]: 2 is thinking
[554]: 2 is sleeping
[554]: 3 is thinking
[554]: 3 is sleeping
[554]: 5 is thinking
[554]: 5 is sleeping
[555]: 4 is thinking
[555]: 4 is sleeping
[555]: 1 is thinking
[555]: 1 is sleeping
[555]: 2 is thinking
[555]: 2 is sleeping
[555]: 3 is thinking
[555]: 3 is sleeping
[556]: 5 is thinking
[556]: 5 is sleeping
[556]: 4 is thinking
[556]: 4 is sleeping
[556]: 1 is thinking
[556]: 1 is sleeping
[556]: 2 is thinking
[556]: 2 is sleeping
[557]: 3 is thinking
[557]: 3 is sleeping
[557]: 5 is thinking
[557]: 5 is sleeping
[557]: 4 is thinking
[557]: 4 is sleeping
[557]: 1 is thinking
[557]: 1 is sleeping
[558]: 2 is thinking
[558]: 2 is sleeping
[558]: 3 is thinking
[558]: 3 is sleeping
[558]: 5 is thinking
[558]: 5 is sleeping
[558]: 4 is thinking
[558]: 4 is sleeping
[559]: 1 is thinking
[559]: 1 is sleeping
[559]: 2 is thinking
[559]: 2 is sleeping
[559]: 3 is thinking
[559]: 3 is sleeping
[559]: 5 is thinking
[559]: 5 is sleeping
[560]: 4 is thinking
[560]: 4 is sleeping
[560]: 1 is thinking
[560]: 1 is sleeping
[560]: 2 is thinking
[560]: 2 is sleeping
[560]: 3 is thinking
[560]: 3 is sleeping
[561]: 5 is thinking
[561]: 5 is sleeping
[561]: 4 is thinking
[561]: 4 is sleeping
[561]: 1 is thinking
[561]: 1 is sleeping
[561]: 2 is thinking
[561]: 2 is sleeping
[562]: 3 is thinking
[562]: 3 is sleeping
[562]: 5 is thinking
[562]: 5 is sleeping
[562]: 4 is thinking
[562]: 4 is sleeping
[563]: 1 is thinking
[563]: 1 is sleeping
[563]: 2 is thinking
[563]: 2 is sleeping
[563]: 3 is thinking
[563]: 3 is sleeping
[563]: 5 is thinking
[563]: 5 is sleeping
[564]: 4 is thinking
[564]: 4 is sleeping
[564]: 1 is thinking
[564]: 1 is sleeping
[564]: 2 is thinking
[564]: 2 is sleeping
[564]: 3 is thinking
[564]: 3 is sleeping
[565]: 5 is thinking
[565]: 5 is sleeping
[565]: 4 is thinking
[565]: 4 is sleeping
[565]: 1 is thinking
[565]: 1 is sleeping
[565]: 2 is thinking
[565]: 2 is sleeping
[566]: 3 is thinking
[566]: 3 is sleeping
[566]: 5 is thinking
[566]: 5 is sleeping
[566]: 4 is thinking
[566]: 4 is sleeping
[566]: 1 is thinking
[566]: 1 is sleeping
[567]: 2 is thinking
[567]: 2 is sleeping
[567]: 3 is thinking
[567]: 3 is sleeping
[567]: 5 is thinking
[567]: 5 is sleeping
[567]: 4 is thinking
[567]: 4 is sleeping
[568]: 1 is thinking
[568]: 1 is sleeping
[568]: 2 is thinking
[568]: 2 is sleeping
[568]: 3 is thinking
[568]: 3 is sleeping
[568]: 5 is thinking
[568]: 5 is sleeping
[569]: 4 is thinking
[569]: 4 is sleeping
[569]: 1 is thinking
[569]: 1 is sleeping
[569]: 2 is thinking
[569]: 2 is sleeping
[569]: 3 is thinking
[569]: 3 is sleeping
[570]: 5 is thinking
[570]: 5 is sleeping
[570]: 4 is thinking
[570]: 4 is sleeping
[570]: 1 is thinking
[570]: 1 is sleeping
[570]: 2 is thinking
[570]: 2 is sleeping
[571]: 3 is thinking
[571]: 3 is sleeping
[571]: 5 is thinking
[571]: 5 is sleeping
[571]: 4 is thinking
[571]: 4 is sleeping
[572]: 1 is thinking
[572]: 1 is sleeping
[572]: 2 is thinking
[572]: 2 is sleeping
[572]: 3 is thinking
[572]: 3 is sleeping
[572]: 5 is thinking
[572]: 5 is sleeping
[573]: 4 is thinking
[573]: 4 is sleeping
[573]: 1 is thinking
[573]: 1 is sleeping
[573]: 2 is thinking
[573]: 2 is sleeping
[573]: 3 is thinking
[573]: 3 is sleeping
[574]: 5 is thinking
[574]: 5 is sleeping
[574]: 4 is thinking
[574]: 4 is sleeping
[574]: 1 is thinking
[574]: 1 is sleeping
